Date,Symbol,Open,Close,High,Low,Volume
2021-03-31,NVDA,13.015500,13.348250,13.470500,12.982500,314776000
2021-03-31,BAC,38.619999,38.689999,38.990002,38.459999,49270000
2021-03-31,WMT,45.183334,45.276669,45.619999,44.986668,24546000
2021-03-31,CSCO,51.830002,51.709999,52.049999,51.549999,22212400
2021-03-31,NFLX,51.567001,52.166000,52.813000,51.543999,35031000
2021-03-31,KO,53.029999,52.709999,53.169998,52.500000,15826500
2021-03-31,INTC,64.010002,64.000000,64.489998,63.580002,33013200
2021-03-31,ORCL,70.699997,70.169998,71.099998,69.910004,9971700
2021-03-31,AMD,76.570000,78.500000,79.129997,76.519997,43659500
2021-03-31,GOOG,102.956001,103.431503,104.666351,102.837250,29198000
2021-03-31,AAPL,121.650002,122.150002,123.519997,121.150002,118323800
2021-03-31,IBM,128.623322,127.399620,128.785858,126.873802,5172575
2021-03-31,PEP,143.320007,141.449997,143.330002,141.169998,6257900
2021-03-31,JPM,153.279999,152.229996,154.490005,152.119995,16736700
2021-03-31,AMZN,153.203003,154.703995,155.966507,153.125000,61878000
2021-03-31,DIS,185.830002,184.520004,186.899994,184.419998,8478000
2021-03-31,TSLA,215.539993,222.643326,224.000000,213.703339,100011900
2021-03-31,MSFT,232.910004,235.770004,239.100006,232.389999,43623500
2021-03-31,META,289.989990,294.529999,296.500000,288.609985,19498200
2021-03-31,ADBE,469.700012,475.369995,482.410004,468.700012,3155900
2021-04-01,NVDA,13.572250,13.811750,13.870000,13.511250,308276000
2021-04-01,BAC,38.830002,39.490002,39.520000,38.720001,65587000
2021-04-01,WMT,45.313332,45.206669,45.630001,45.110001,25595100
2021-04-01,CSCO,51.750000,51.980000,52.070000,51.349998,17896200
2021-04-01,KO,52.959999,52.509998,53.150002,52.459999,15834700
2021-04-01,NFLX,52.993000,53.942001,54.049999,52.702999,39386000
2021-04-01,INTC,64.720001,64.550003,64.889999,63.580002,31416300
2021-04-01,ORCL,70.459999,71.809998,71.830002,70.330002,13228700
2021-04-01,AMD,80.160004,81.089996,81.309998,79.480003,40182400
2021-04-01,GOOG,104.897499,106.887497,107.147003,104.844498,33980000
2021-04-01,AAPL,123.660004,123.000000,124.180000,122.489998,75089100
2021-04-01,IBM,127.877632,127.370934,128.040146,126.453156,4261404
2021-04-01,PEP,141.190002,141.279999,142.300003,140.110001,4823400
2021-04-01,JPM,151.899994,153.710007,153.789993,151.550003,16561500
2021-04-01,AMZN,155.897003,158.050003,158.121994,155.777496,58806000
2021-04-01,DIS,186.429993,188.970001,189.100006,185.589996,7749400
2021-04-01,TSLA,229.456665,220.583328,230.806671,219.806671,105895200
2021-04-01,MSFT,238.470001,242.350006,242.839996,238.050003,30338000
2021-04-01,META,298.399994,298.660004,302.399994,296.600006,17616000
2021-04-01,ADBE,483.119995,483.339996,487.040009,480.709991,2664700
2021-04-02,NVDA,13.572250,13.811750,13.870000,13.511250,308276000
2021-04-02,BAC,38.830002,39.490002,39.520000,38.720001,65587000
2021-04-02,WMT,45.313332,45.206669,45.630001,45.110001,25595100
2021-04-02,CSCO,51.750000,51.980000,52.070000,51.349998,17896200
2021-04-02,KO,52.959999,52.509998,53.150002,52.459999,15834700
2021-04-02,NFLX,52.993000,53.942001,54.049999,52.702999,39386000
2021-04-02,INTC,64.720001,64.550003,64.889999,63.580002,31416300
2021-04-02,ORCL,70.459999,71.809998,71.830002,70.330002,13228700
2021-04-02,AMD,80.160004,81.089996,81.309998,79.480003,40182400
2021-04-02,GOOG,104.897499,106.887497,107.147003,104.844498,33980000
2021-04-02,AAPL,123.660004,123.000000,124.180000,122.489998,75089100
2021-04-02,IBM,127.877632,127.370934,128.040146,126.453156,4261404
2021-04-02,PEP,141.190002,141.279999,142.300003,140.110001,4823400
2021-04-02,JPM,151.899994,153.710007,153.789993,151.550003,16561500
2021-04-02,AMZN,155.897003,158.050003,158.121994,155.777496,58806000
2021-04-02,DIS,186.429993,188.970001,189.100006,185.589996,7749400
2021-04-02,TSLA,229.456665,220.583328,230.806671,219.806671,105895200
2021-04-02,MSFT,238.470001,242.350006,242.839996,238.050003,30338000
2021-04-02,META,298.399994,298.660004,302.399994,296.600006,17616000
2021-04-02,ADBE,483.119995,483.339996,487.040009,480.709991,2664700
2021-04-03,NVDA,13.572250,13.811750,13.870000,13.511250,308276000
2021-04-03,BAC,38.830002,39.490002,39.520000,38.720001,65587000
2021-04-03,WMT,45.313332,45.206669,45.630001,45.110001,25595100
2021-04-03,CSCO,51.750000,51.980000,52.070000,51.349998,17896200
2021-04-03,KO,52.959999,52.509998,53.150002,52.459999,15834700
2021-04-03,NFLX,52.993000,53.942001,54.049999,52.702999,39386000
2021-04-03,INTC,64.720001,64.550003,64.889999,63.580002,31416300
2021-04-03,ORCL,70.459999,71.809998,71.830002,70.330002,13228700
2021-04-03,AMD,80.160004,81.089996,81.309998,79.480003,40182400
2021-04-03,GOOG,104.897499,106.887497,107.147003,104.844498,33980000
2021-04-03,AAPL,123.660004,123.000000,124.180000,122.489998,75089100
2021-04-03,IBM,127.877632,127.370934,128.040146,126.453156,4261404
2021-04-03,PEP,141.190002,141.279999,142.300003,140.110001,4823400
2021-04-03,JPM,151.899994,153.710007,153.789993,151.550003,16561500
2021-04-03,AMZN,155.897003,158.050003,158.121994,155.777496,58806000
2021-04-03,DIS,186.429993,188.970001,189.100006,185.589996,7749400
2021-04-03,TSLA,229.456665,220.583328,230.806671,219.806671,105895200
2021-04-03,MSFT,238.470001,242.350006,242.839996,238.050003,30338000
2021-04-03,META,298.399994,298.660004,302.399994,296.600006,17616000
2021-04-03,ADBE,483.119995,483.339996,487.040009,480.709991,2664700
2021-04-04,NVDA,13.572250,13.811750,13.870000,13.511250,308276000
2021-04-04,BAC,38.830002,39.490002,39.520000,38.720001,65587000
2021-04-04,WMT,45.313332,45.206669,45.630001,45.110001,25595100
2021-04-04,CSCO,51.750000,51.980000,52.070000,51.349998,17896200
2021-04-04,KO,52.959999,52.509998,53.150002,52.459999,15834700
2021-04-04,NFLX,52.993000,53.942001,54.049999,52.702999,39386000
2021-04-04,INTC,64.720001,64.550003,64.889999,63.580002,31416300
2021-04-04,ORCL,70.459999,71.809998,71.830002,70.330002,13228700
2021-04-04,AMD,80.160004,81.089996,81.309998,79.480003,40182400
2021-04-04,GOOG,104.897499,106.887497,107.147003,104.844498,33980000
2021-04-04,AAPL,123.660004,123.000000,124.180000,122.489998,75089100
2021-04-04,IBM,127.877632,127.370934,128.040146,126.453156,4261404
2021-04-04,PEP,141.190002,141.279999,142.300003,140.110001,4823400
2021-04-04,JPM,151.899994,153.710007,153.789993,151.550003,16561500
2021-04-04,AMZN,155.897003,158.050003,158.121994,155.777496,58806000
2021-04-04,DIS,186.429993,188.970001,189.100006,185.589996,7749400
2021-04-04,TSLA,229.456665,220.583328,230.806671,219.806671,105895200
2021-04-04,MSFT,238.470001,242.350006,242.839996,238.050003,30338000
2021-04-04,META,298.399994,298.660004,302.399994,296.600006,17616000
2021-04-04,ADBE,483.119995,483.339996,487.040009,480.709991,2664700
2021-04-05,NVDA,13.867500,13.987500,14.014000,13.733000,255672000
2021-04-05,BAC,40.000000,39.799999,40.279999,39.599998,50328500
2021-04-05,WMT,45.573334,46.476665,46.720001,45.400002,40043100
2021-04-05,CSCO,51.630001,52.410000,52.919998,51.630001,19860900
2021-04-05,KO,52.349998,52.810001,53.220001,52.290001,16368700
2021-04-05,NFLX,54.000999,54.067001,54.285000,52.923000,33559000
2021-04-05,INTC,64.949997,66.540001,66.739998,64.699997,27947500
2021-04-05,ORCL,72.190002,74.160004,74.900002,72.059998,25010200
2021-04-05,AMD,81.739998,81.430000,81.900002,80.389999,32610600
2021-04-05,GOOG,107.647003,111.277496,111.865501,107.581001,43298000
2021-04-05,AAPL,123.870003,125.900002,126.160004,123.070000,88651200
2021-04-05,IBM,127.762909,129.952194,130.678772,127.533463,5722980
2021-04-05,PEP,141.850006,143.160004,144.339996,141.320007,5980700
2021-04-05,JPM,154.399994,153.619995,154.940002,152.600006,13508000
2021-04-05,AMZN,158.649994,161.336502,161.798004,158.061996,66698000
